Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,140.768997,140.875000,140.246002,140.789993,140.789993,0
2014-04-16,140.682007,141.731995,140.682007,140.686005,140.686005,0
2014-04-17,141.261002,141.610992,140.994995,141.279999,141.279999,0
2014-04-18,141.492996,141.619995,141.371002,141.485992,141.485992,0
2014-04-21,141.669998,141.817993,141.399994,141.669006,141.669006,0
2014-04-22,141.619995,141.750000,141.216003,141.610001,141.610001,0
2014-04-23,141.694000,141.979996,141.201004,141.686996,141.686996,0
2014-04-24,141.591995,141.768005,141.061005,141.610001,141.610001,0
2014-04-25,141.501007,141.727997,141.039001,141.501007,141.501007,0
2014-04-28,141.259995,142.125000,141.009995,141.296005,141.296005,0
2014-04-29,142.000000,142.455994,141.606995,141.990997,141.990997,0
2014-04-30,141.671005,142.063004,141.149994,141.669006,141.669006,0
2014-05-01,141.789993,141.996002,141.660004,141.759003,141.759003,0
2014-05-02,141.839996,142.315994,141.669998,141.841003,141.841003,0
2014-05-05,141.768997,141.800995,141.283005,141.761993,141.761993,0
2014-05-06,141.718994,142.080002,141.373001,141.714005,141.714005,0
2014-05-07,141.699997,141.970001,141.149994,141.656998,141.656998,0
2014-05-08,141.690002,142.332001,140.809998,141.701004,141.701004,0
2014-05-09,140.639999,140.796005,139.882996,140.636002,140.636002,0
2014-05-12,140.190002,140.613998,140.143997,140.203995,140.203995,0
2014-05-13,140.550995,140.942993,140.009995,140.546997,140.546997,0
2014-05-14,140.113998,140.253998,139.500000,140.130005,140.130005,0
2014-05-15,139.595993,139.847000,138.985992,139.679993,139.679993,0
2014-05-16,139.197998,139.414001,138.768997,139.218002,139.218002,0
2014-05-19,139.128006,139.251007,138.628006,139.139999,139.139999,0
2014-05-20,139.119995,139.289993,138.550003,139.179993,139.179993,0
2014-05-21,138.761993,138.876007,138.130005,138.764008,138.764008,0
2014-05-22,138.781998,139.113998,138.639999,138.757996,138.757996,0
2014-05-23,138.955002,139.020004,138.606003,138.945007,138.945007,0
2014-05-26,138.960007,139.093002,138.720001,138.960999,138.960999,0
2014-05-27,139.110001,139.356995,138.830002,139.100006,139.100006,0
2014-05-28,139.020996,139.020996,138.309998,139.039993,139.039993,0
2014-05-29,138.268997,138.503998,137.962006,138.259995,138.259995,0
2014-05-30,138.330002,138.858002,138.089996,138.373001,138.373001,0
2014-06-02,138.835007,139.240005,138.675995,138.830002,138.830002,0
2014-06-03,139.253998,139.727005,139.123993,139.270004,139.270004,0
2014-06-04,139.692001,139.932007,139.559998,139.690002,139.690002,0
2014-06-05,139.664001,139.770004,138.703003,139.660004,139.660004,0
2014-06-06,139.904999,139.908005,139.393005,139.919998,139.919998,0
2014-06-09,139.869003,139.968002,139.279999,139.800003,139.800003,0
2014-06-10,139.300003,139.300003,138.460007,139.270004,139.270004,0
2014-06-11,138.516006,138.587006,137.869995,138.520004,138.520004,0
2014-06-12,138.074005,138.339996,137.809006,138.050003,138.050003,0
2014-06-13,137.850006,138.528000,137.848007,137.830002,137.830002,0
2014-06-16,138.014999,138.237000,137.707001,138.018005,138.018005,0
2014-06-17,138.300003,138.531006,138.199997,138.298004,138.298004,0
2014-06-18,138.417007,138.692001,138.339996,138.431000,138.431000,0
2014-06-19,138.490005,138.873993,138.412003,138.470001,138.470001,0
2014-06-20,138.669998,138.880005,138.541000,138.718994,138.718994,0
2014-06-23,138.746994,138.802002,138.274994,138.718002,138.718002,0
2014-06-24,138.539993,138.923004,138.449005,138.559998,138.559998,0
2014-06-25,138.660004,138.809998,138.554993,138.647003,138.647003,0
2014-06-26,138.750000,138.809006,137.927002,138.729996,138.729996,0
2014-06-27,138.350006,138.360001,137.979996,138.350006,138.350006,0
2014-06-30,138.378006,138.725006,138.113007,138.389999,138.389999,0
2014-07-01,138.699997,139.119995,138.686996,138.684998,138.684998,0
2014-07-02,138.940002,139.024994,138.542999,138.923996,138.923996,0
2014-07-03,139.029999,139.261993,138.968002,139.031998,139.031998,0
2014-07-04,139.054001,139.057007,138.570007,139.070007,139.070007,0
